month,is_train,lat,lon,precip_est,precip_obs
1,False,22.0,0.0,0.32564453125000004,0.55789947875
1,False,22.0,1.0,0.40474609500000003,0.18882751874999998
1,False,22.0,2.0,0.49312500125000003,0.1039505015
1,False,22.0,3.0,0.5487890625,0.08869171125
1,False,22.0,4.0,0.752402345,0.40292740099999996
1,False,22.0,5.0,0.709921875,0.148296351875
1,False,22.0,6.0,0.6127539125,0.066280364375
1,False,22.0,7.0,0.5702734375,0.11062622
1,False,22.0,8.0,0.47896485,0.1258850125
1,False,22.0,9.0,0.39351562500000004,0.1335144
1,False,22.0,10.0,0.25679687,0.14019012500000003
1,False,22.0,11.0,0.19673828125,0.052452086999999994
1,False,22.0,12.0,0.19039062625,0.0448226925
1,False,22.0,13.0,0.1737890625,0.0591278075
1,False,22.0,14.0,0.118125,0.1335144
1,False,22.0,15.0,0.09712890625000001,0.147819525
1,False,22.0,16.0,0.11470703125000001,0.1993179375
1,False,22.0,17.0,0.13619140625,0.0514984125
1,False,22.0,18.0,0.10689453125000001,0.0
1,False,22.0,19.0,0.08394531250000001,0.0
1,False,22.0,20.0,0.06783203125000001,0.0
1,False,23.0,-20.0,5.7323827000000005,1.50489805
1,False,23.0,-19.0,3.560019525,1.62696839625
1,False,23.0,-18.0,2.49263671875,1.04331969375
1,False,23.0,-17.0,1.34712890625,1.28602982
1,False,23.0,-16.0,1.338828125,0.79917907225
1,False,23.0,-15.0,1.2406835875,0.49257278625000006
1,False,23.0,-14.0,1.0253515625,0.25892257625
1,False,23.0,-13.0,0.74800782,0.37765501937500007
1,False,23.0,-12.0,0.7587500075,0.37717818575
1,False,23.0,-11.0,0.7499609375,0.333309180125
1,False,23.0,-10.0,0.72896484375,0.70285797
1,False,23.0,-9.0,0.78169920625,2.1371840975
1,False,23.0,-8.0,0.80953125,3.9029120882500004
1,False,23.0,-7.0,0.81197266875,3.45563885975
1,False,23.0,-6.0,0.6830664125,3.0455588820000004
1,False,23.0,-5.0,0.52095703125,2.377033235
1,False,23.0,-4.0,0.38716796875,1.8639564687499999
1,False,23.0,-3.0,0.26412109375000004,1.604080185625
1,False,23.0,-2.0,0.26070312625000003,1.38950350375
1,False,23.0,-1.0,0.26021484375,0.7867812894999999
1,False,23.0,0.0,0.30904296875000004,0.59843063475
1,False,23.0,1.0,0.34322265625000004,0.33283234075000007
1,False,23.0,2.0,0.429648445,0.226497645
1,False,23.0,3.0,0.6596289,0.2040863055
1,False,23.0,4.0,0.86275390625,0.36716460575
1,False,23.0,5.0,1.713339875,0.41484832650000003
1,False,23.0,6.0,1.6166601250000001,0.48446654725
1,False,23.0,7.0,0.9565039000000001,0.17738342375
1,False,23.0,8.0,0.8651953125,0.3991127
1,False,23.0,9.0,0.5385351625,0.0967979425
1,False,23.0,10.0,0.40083985125,0.0667572
1,False,23.0,11.0,0.3246679625,0.177383425
1,False,23.0,12.0,0.31929688125,0.044822694499999996
1,False,23.0,13.0,0.30464844375,0.0600814815
1,False,23.0,14.0,0.2494726575,0.192642215
1,False,23.0,15.0,0.2240820325,0.163078310625
1,False,23.0,16.0,0.24214843875,0.1115799
1,False,23.0,17.0,0.23824219375,0.03719329825
1,False,23.0,18.0,0.2084570325,0.0810623175
1,False,23.0,19.0,0.20162109374999998,0.0410079945
1,False,23.0,20.0,0.18550781249999998,0.03004074075
1,False,24.0,-20.0,8.944785,2.7422904625
1,False,24.0,-19.0,6.7851171625,2.235889405
1,False,24.0,-18.0,4.3114843375,1.4934539825
1,False,24.0,-17.0,3.1728124875,1.2316703775
1,False,24.0,-16.0,1.69185546875,1.227855677
1,False,24.0,-15.0,1.5951757687500001,0.8869171182500001
1,False,24.0,-14.0,1.30416015,0.271320347
1,False,24.0,-13.0,1.0273046875,0.389099113125
1,False,24.0,-12.0,0.85201171875,0.31805038750000003
1,False,24.0,-11.0,0.84371093125,0.6508827125000001
1,False,24.0,-10.0,0.78169921875,0.23698806325000002
1,False,24.0,-9.0,0.8354101625,0.23698806825
1,False,24.0,-8.0,0.8603124875,0.76532363675
1,False,24.0,-7.0,0.86177734375,3.59964368625
1,False,24.0,-6.0,0.892539075,4.98199472125
1,False,24.0,-5.0,0.73140625625,4.94909292125
1,False,24.0,-4.0,0.5946875,3.8661956186249995
1,False,24.0,-3.0,0.47115234500000003,3.5996436537500003
1,False,24.0,-2.0,0.34712890625,2.29930881175
1,False,24.0,-1.0,0.346640625,1.9989013875000001
1,False,24.0,0.0,0.3095312575,1.4562606300000003
1,False,24.0,1.0,0.34322265,1.3718604675000001
1,False,24.0,2.0,0.45845703125000004,1.3642311069999997
1,False,24.0,3.0,0.6864843825,1.06096271675
1,False,24.0,4.0,1.13472656875,1.12009048625
1,False,24.0,5.0,1.98238281875,1.444816582
1,False,24.0,6.0,2.43208984375,0.7433891292500001
1,False,24.0,7.0,1.77388671875,0.990390775
1,False,24.0,8.0,1.533164075,0.37670135
1,False,24.0,9.0,1.207480475,0.2593994125
1,False,24.0,10.0,0.8280859375,0.25844575
1,False,24.0,11.0,0.7519140625,0.06294250475
1,False,24.0,12.0,0.39791015625000004,0.2222061125
1,False,24.0,13.0,0.38326172000000003,0.08869171249999999
1,False,24.0,14.0,0.35445313125,0.051975250125
1,False,24.0,15.0,0.32906250000000004,0.16307830999999998
1,False,24.0,16.0,0.36714844375,0.21457671950000004
1,False,24.0,17.0,0.36421875625,0.05960464625
1,False,24.0,18.0,0.4018164125,0.081539155625
1,False,24.0,19.0,0.39302735,0.08916854825
1,False,24.0,20.0,0.3344336,0.11014938187500001
1,False,25.0,-20.0,14.300742125,6.004333475
1,False,25.0,-19.0,10.6317968125,3.6811828375
1,False,25.0,-18.0,8.1742772875,2.81286235875
1,False,25.0,-17.0,5.5170507625,1.9636154162500001
1,False,25.0,-16.0,4.0414648125,1.3279915
1,False,25.0,-15.0,2.14791014375,1.476287852
1,False,25.0,-14.0,1.85884765625,1.1248588474999999
1,False,25.0,-13.0,1.377890625,1.2874603325
1,False,25.0,-12.0,1.2030859375,0.5216598425
1,False,25.0,-11.0,1.09224609375,0.48112869625
1,False,25.0,-10.0,1.03169921875,0.75387955
1,False,25.0,-9.0,0.87789061875,0.92029572225
1,False,25.0,-8.0,0.90230469375,0.680923455
1,False,25.0,-7.0,0.88765625625,1.2798309245000001
1,False,25.0,-6.0,0.9169531375,2.1262168385000004
1,False,25.0,-5.0,0.9814062625,3.10850148475
1,False,25.0,-4.0,0.84615234375,3.0341148185
1,False,25.0,-3.0,0.75875000625,3.53765482175
1,False,25.0,-2.0,0.637167975,2.6903151956249998
1,False,25.0,-1.0,0.49996093875000003,1.508235961875
1,False,25.0,0.0,0.46333983875,0.9589195082500002
1,False,25.0,1.0,0.41011718750000004,1.5382766417500002
1,False,25.0,2.0,0.5258398375,1.78956981725
1,False,25.0,3.0,0.70845703125,2.465248125
1,False,25.0,4.0,1.15230469375,2.6311873875000003
1,False,25.0,5.0,1.46529296875,2.5463103250000003
1,False,25.0,6.0,1.9101171875,2.32553485975
1,False,25.0,7.0,2.92671878125,3.064155553125
1,False,25.0,8.0,2.69185544375,2.7899742480000005
1,False,25.0,9.0,2.15083985,2.13289259075
1,False,25.0,10.0,1.77437500625,0.917911534
1,False,25.0,11.0,1.30123046875,0.20027161075
1,False,25.0,12.0,0.94820313125,0.229835505
1,False,25.0,13.0,0.5780859375,0.25177001450000003
1,False,25.0,14.0,0.54927734375,0.08487701325
1,False,25.0,15.0,0.41109375125000003,0.16403197775
1,False,25.0,16.0,0.44820313125,0.0743865945
1,False,25.0,17.0,0.5014257875,0.07438659624999999
1,False,25.0,18.0,0.539511725,0.15592575250000001
1,False,25.0,19.0,0.54146484375,0.18930434824999998
1,False,25.0,20.0,0.4843359375,0.12588501075
1,False,26.0,-20.0,19.5439063125,10.3406905
1,False,26.0,-19.0,15.900839874999999,6.696701025
1,False,26.0,-18.0,12.2025975875,6.4125062375
1,False,26.0,-17.0,9.563925812499999,4.4651031125000005
